2,11,9,21,12,14
1,15,8,22,19,13
1,16,6,27,23,13
1,18,3,32,23,17
1,19,3,33,29,18
2,16,3,34,29,19
2,16,3,35,29,25
2,19,3,35,31,28
2,19,2,35,33,29
2,20,2,37,31,32
2,20,1,38,29,37
2,20,4,37,25,41
2,20,5,37,22,50
2,20,5,37,19,54
2,20,8,33,24,54
3,18,13,27,28,54
3,18,16,25,26,59
4,17,17,23,26,61
4,17,18,23,26,64
6,15,18,25,24,68
6,15,18,25,23,67
7,13,18,25,19,69
7,14,18,21,21,67
7,15,18,20,22,62
7,13,18,19,23,56
8,12,16,19,23,47
8,12,13,21,24,44
8,11,12,22,25,44
8,11,12,23,25,44
8,11,12,25,27,42
8,9,12,20,28,42
8,9,9,21,25,44
9,7,8,22,26,41
8,8,7,24,26,40
8,6,7,23,26,37
8,5,8,20,25,35
8,5,6,21,23,32
8,3,5,20,23,28
6,4,5,17,21,24
