0.000,13,30,26
0.500,16,30,32
1.050,17,33,36
1.550,19,35,40
2.050,20,36,47
2.500,18,37,48
3.000,18,38,54
3.550,21,38,59
4.050,21,37,62
4.550,22,39,63
5.000,22,39,66
5.500,22,41,66
6.000,22,42,72
6.500,22,42,73
7.050,22,41,78
7.550,21,40,82
8.050,21,41,85
8.550,21,40,87
9.050,21,41,90
9.550,21,43,92
10.050,21,43,90
10.550,20,43,88
11.000,21,39,88
11.500,22,38,84
12.050,20,37,79
12.550,20,35,70
13.150,20,34,68
13.650,19,34,69
14.150,19,35,69
14.550,19,37,69
15.050,17,32,70
15.550,17,30,69
16.050,16,30,67
16.550,16,31,66
17.050,14,30,63
17.550,13,28,60
18.050,13,27,55
18.650,11,25,51
19.150,10,22,45
